geneID	Glc1	Glc2	Glc3	Lac1	Lac2	Lac3	LNT1	LNT2	LNT3	XGL1	XGL2	XGL3
BcK1E1_00585	2601.9946342501394	2154.998234598555	2040.9946674170758	3449.9958003277225	3698.004578830943	3451.0118316252624	2931.005382767549	3772.999763864792	3412.989469482877	3127.00629155322	2720.999926105626	3891.995288507375
BcK1E1_00586	2743.003719694022	2214.0012078892314	1944.9970168174898	6905.000944167994	7435.000815094259	7174.00307492217	6386.99921755771	8144.997736807642	7990.999341254674	4596.000615356093	3825.0023089742313	5547.997324748084
BcK1E1_00587	14641.02538114242	11570.025826822102	12497.024879071729	7584.001627296698	8096.004813887183	7566.997608974885	8558.9792442622	10850.992609035746	9630.00679926685	6685.003035016923	6874.997965415843	8427.995441822555
BcK1E1_00588	2881.00775795052	2306.9913091828566	2183.9993275168995	1528.0008642565974	1745.0005615769164	1663.0018066328064	2048.999102450318	2406.9980955820683	2144.000188657842	1336.0014213419322	1604.999813941779	1662.0012992034758
BcK1E1_00589	2657.999914971596	2024.9988818200304	1930.9977369195785	1301.0017377949184	1349.0001268567994	1382.9975821361618	1847.997629887913	2044.0002971208496	2057.9967016629466	997.9979581003129	1308.9984579009356	1313.999992049088
BcK1E1_00590	86.00009425756528	61.99997971502619	56.99995990942536	32.99995772432002	40.99990479432805	52.00000058056336	51.99998292991769	45.00007899723033	47.000049540227906	29.99995501415989	46.99993078463121	40.00000639043641
BcK1E1_00591	210.00003422062142	164.00012230486095	136.00004453719959	89.99992636698713	96.00021948162674	99.00024798413529	81.99983029408276	89.00012453653292	128.0000551078342	69.9999324153366	118.00008992201833	118.99998044540348
BcK1E1_00592	171.00010019237934	147.9999110245393	156.99979006445287	65.00011752033161	95.00015727654103	83.0000123693861	116.00012498804941	113.00012505894483	103.99983891095367	101.00016251788574	86.00005421547606	129.00012028624872
BcK1E1_00593	195.00011273936917	159.9999409938973	165.99980644820977	88.99984441727952	101.99997640429079	90.99991724926338	89.99986611235646	95.00006840946891	103.00015323742227	96.00006998707211	94.00011502624736	118.99986349635779
BcK1E1_00594	254.00001638206118	242.99999744321087	194.999961488214	135.9998391720364	114.99998766396476	121.00010446099148	121.99987945402603	194.0000123607311	152.00015233882317	142.99990198664855	133.99996285753102	174.99987365977967
BcK1E1_00595	2826.0004821019447	2011.002056516257	2486.996422541913	981.0021731698192	1264.0006016523812	1132.002116540954	1041.0006373591518	1360.002180839916	1284.0016797364397	1323.0024444477685	1082.9978717566298	1299.00348071689
BcK1E1_00596	9943.998768728381	7214.9984247764305	8175.996344722248	6684.998846250803	7392.9967866189545	7065.995810919222	5735.998341650358	6706.992538646643	7039.005531837147	5990.999490319315	6281.993311036007	6748.998093287893
