genome_ID	D-glucose (Glc)	D-galactose (Gal)	D-fructose (Fru)	D-xylose (Xyl)	L-arabinose (Ara)	D-ribose (Rib)	N-acetyl-D-glucosamine (GlcNAc)	N-acetylneuraminic acid (Neu5Ac)	D-glucuronate (GlcA)	D-gluconate (Gco)	Myo-inositol (Ino)	D-mannitol (Mtl)	D-sorbitol (Stl)	Maltose (Mal)	Maltotriose (MOS)	Panose (IMO)	Isomaltotriose (IMO)	Melezitose (Mlz)	Cellobiose (BglOS)	Gentiobiose (BglOS)	Laminaritriose (BglOS)	Sophorose (BglOS)	Melibiose (Mel)	Raffinose (RFO)	Lactose (Lac)	Sucrose (Scr)	Fructooligosaccharide DP=3 (scFOS)	Chicory fructooligosaccharides (lcFOS)	Mannotriose (bMnOS)	Xylotriose (XOS)	Arabinotriose (aAOS)	Lacto-N-tetraose (LNT)	Lacto-N-neotetraose (LNnT)	2'-fucosyllactose (2'FL)	3'-sialyllactose (SHMO)	6'-sialyllactose (SHMO)	Potato soluble starch (ST)	Pullulan (PUL)	Gum arabic from acacia tree (GA)	Konjac glucomannan (bMAN)	Wheat flour arabinoxylan (AX)	Sugar beet arabinan (AR)	Tamarind xyloglucan (XGL)	country	dataset
Bl. infantis ATCC 15697 = JCM 1222	+	+	+	-	-	+	-	+	+	-	-	-	-	+	+	+	+	-	-	-	-	-	+	+	+	+	+	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	Europe	ref
Bl. infantis Bg064.S07_13.C6	+	+	+	+	-	+	+	+	-	+	-	+	+	+	+	+	+	+	-	-	-	-	+	+	+	w	+	+	-	+	-	+	+	+	+	-	-	-	-	-	-	-	-	Bangladesh	ref
Bl. infantis Bg40721_2D9	+	+	+	-	-	w	-	w	-	-	-	+	+	+	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	-	-	+	+	+	+	w	-	-	-	-	-	-	-	Bangladesh	ref
Bl. infantis JG_Bg463	+	+	+	-	-	+	w	w	+	-	+	-	-	+	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	Bangladesh	ref
Bl. infantis Malawi264A_MC2	+	+	+	-	-	-	-	+	-	+	-	-	-	w	+	+	+	-	-	-	-	-	+	+	+	+	-	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	Malawi	ref
Bl. longum Bg115.S08_3A11	+	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+	+	-	-	-	-	-	+	+	+	+	+	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	Bangladesh	ref
Bl. suis Bg131.S11_17.F6	+	+	+	-	-	w	-	w	-	-	-	-	-	+	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	-	-	+	+	+	+	+	-	-	-	-	-	-	-	Bangladesh	ref
Bl. suis Bg41121_2E1	+	+	-	+	+	w	-	-	-	-	-	-	-	+	NT	NT	+	+	-	-	NT	-	+	+	+	+	+	+	-	+	+	w	-	+	-	-	-	-	-	-	-	w	-	Bangladesh	ref
Bl. suis M257B_A6	+	+	+	+	+	-	-	-	-	-	-	-	-	+	+	NT	+	-	-	w	NT	-	+	+	+	+	-	-	-	+	w	+	-	+	-	-	-	-	-	-	-	w	-	Malawi	ext
Bl. nov. LFYP82	w	w	+	+	-	-	-	-	-	-	-	-	-	+	+	NT	+	-	-	-	NT	w	+	+	+	+	+	+	-	-	-	-	-	-	-	-	w	+	-	-	-	-	-	US	ref
