	216816.186	216816.1989	1682.76	216816.378	759350.3	Bsuis_BSM11-5	2005B	2074B	209B	AGR2137	DSM20211	JCM19995	UCD391	UCD398	UCD399	UMA026	391904.5	1682.151	1682.24	565042.3	206672.9	216816.144	216816.1981	216816.262	1679.217	1695.38
DSM20211	0.9838327086614173	0.9799887261474988	0.9801165904255319	0.9809752358240594	0.9777085987958402	0.9803760363636363	0.9827092192347466	0.9864174772362079	0.983513486045287	0.9843122550544324	1.0	0.9873616538658475	0.998092476635514	0.9867839084132056	0.9811206127839409	0.9822767914438504	0.9542929596142254	0.9542846135118686	0.956455867867868	0.9619032295948327	0.9638023133071308	0.9577729883649724	0.958963926380368	0.9580340566037737	0.9628503997747749	0.9785726918798665
JCM19995	0.9859901037117905	0.9825819072988812	0.9827473778501628	0.9832109813596492	0.9796683517089305	0.9831864437194129	0.9851616972972974	0.9919921199796643	0.9859026759806557	0.9859639717083788	0.9884336222910216	1.0	0.9884604817275746	0.9912389835892007	0.9822573977695167	0.9861188345864663	0.9597819133574008	0.9581608623853209	0.9598285160905841	0.9637635889929742	0.9657912865497076	0.9601508760024676	0.9601488806888068	0.959834842964824	0.9654977126436781	0.9804316862088218
UCD391	0.9840663993948563	0.9801392073778664	0.9800671164699847	0.9813424155578301	0.97847761829653	0.980809115	0.9829179520479521	0.9861387724704674	0.9839808820564515	0.9839120979020979	0.998315955667085	0.9874053310276679	1.0	0.9868856111111112	0.9806622282878411	0.9827292446973616	0.9553309085580304	0.9557113137829911	0.9570223765786453	0.9629266159909909	0.9652523863636364	0.9590956793802146	0.959671917808219	0.958678891595615	0.9643717882225823	0.9790785821294808
UCD398	0.9854361300309598	0.9820446541200407	0.9815343054082715	0.9818051070496082	0.9796631213254944	0.981688529259451	0.9855336557462299	0.9900481585677748	0.9854244699286442	0.9861943307086616	0.9876813148614609	0.9912050573566085	0.9882189673622258	1.0	0.9810476291322314	0.986020745967742	0.9588243315820197	0.9593044892002336	0.9612928546712801	0.9633244882790166	0.9659866779089376	0.9602888794084186	0.9610901181334908	0.9602935878787878	0.9653387105263157	0.9818432197977649
UCD399	0.9802912271540472	0.9881037166138525	0.9869391728280961	0.9879006918819188	0.9815818904507999	0.9871339891451832	0.9804284408879711	0.9799739197041732	0.9800244897959184	0.9810327095413812	0.9814656497461929	0.9816966565503289	0.9817799357257632	0.9809851974723537	1.0	0.9795145962732917	0.9602425	0.9580838727995458	0.9600308950276243	0.9627888238604391	0.9641943950478333	0.9610911461318051	0.9584521756835369	0.9597083700178465	0.9625463935309975	0.9829539747474748
UMA026	0.9889332989690721	0.9785166666666666	0.9787580570221753	0.9798470186666667	0.9774612493326216	0.9788339589905364	0.9879672018348623	0.9824348326133908	0.9879447293879616	0.9883436089841757	0.9817696051919957	0.9836487072649572	0.9820800995316161	0.9853682245008096	0.9787219706840391	1.0	0.9577878309037903	0.9574153502060037	0.9599791581342436	0.9599498837209302	0.9639814301994303	0.9588888004895961	0.9593582193468884	0.9579866857871254	0.9635132054176072	0.9770975707154742
391904.5	0.9569687985654514	0.9579404514285716	0.9588014969393432	0.958477638731597	0.9599297551252847	0.9583645025582718	0.9560772296476304	0.9591691732522796	0.9600272211838007	0.9568433563362608	0.9570444203347801	0.9606384414796847	0.9584360409781891	0.9589705790784558	0.9599030662824208	0.9596118768328447	1.0	0.9805027135187896	0.9778920771796094	0.9500161970074812	0.9509641819371727	0.9506680433310765	0.9500971551724139	0.9507440846994537	0.9492874300254452	0.9590562903225807
1682.151	0.956473949579832	0.9594266474654377	0.9593598448275863	0.9562649574588769	0.9581440023001726	0.9566413763563678	0.9578366256914567	0.9558839547349615	0.9588484686918782	0.9566301595092026	0.955414669117647	0.959247536585366	0.9567326627218935	0.9596378212290502	0.9573093534994069	0.9594409428403065	0.9812160370009736	1.0	0.9786375225867809	0.951352701986755	0.9516715655577299	0.9494815389830508	0.9488521300597214	0.9486438919667591	0.9503992050473187	0.9604879756637168
1682.24	0.9567207251461989	0.960321787930062	0.9596757029926596	0.9585116060436487	0.9616175512528474	0.9578808808864266	0.9588517025089606	0.9588162567164179	0.9592746513038206	0.9579487055990369	0.9572231636363635	0.9594804104699585	0.9582576664511959	0.9603607341147439	0.9598634619883041	0.9608634555873926	0.9788302167630059	0.9780919243657252	1.0	0.9542819413680782	0.9537426204238922	0.9521631115591399	0.9508417058823528	0.9514917322291235	0.9552239274546592	0.9589101601325236
565042.3	0.964131017857143	0.9615393206197855	0.9638579246411483	0.9614642787583689	0.9647932147093713	0.961987309495897	0.9637684787735851	0.9639125621301776	0.9646931726907632	0.9621841937424789	0.9634735675997618	0.9642006884480747	0.9644601834282099	0.9638519004250152	0.9631242145820984	0.9620466829566282	0.949852285361334	0.9511907534699273	0.9535824595469256	1.0	0.9865195230607967	0.968721482381531	0.9686306942752739	0.9683662793572313	0.986105826893354	0.9622872828784119
206672.9	0.9667781989994442	0.9632257665505227	0.9651503647944413	0.9636834820904286	0.9670549340974214	0.962978803663423	0.9661347310584154	0.9664836294117648	0.967057285793256	0.9668521478060048	0.9652266837899544	0.9662510314685315	0.9662370114942529	0.9671889969788521	0.964796396928529	0.9663636394751857	0.9519115499351491	0.9513650745301361	0.954956550836551	0.986868971128609	1.0	0.9680759650145773	0.9678678658892129	0.9672631485992692	0.9861318431771895	0.9629736391437309
216816.144	0.9596498589822194	0.9606604434993924	0.9600716468378209	0.9608678700811993	0.9619580480295566	0.9616405918618989	0.9588848449131515	0.9596742821934688	0.9617999754299754	0.95897706918239	0.9601397982345524	0.9614404856787048	0.9613027619047618	0.9627744260282382	0.9608225997581622	0.9598916041794715	0.9487471818787475	0.9490886111111111	0.9519872562205783	0.9693888199513382	0.9683189634864546	1.0	0.9923253925716972	0.9910317144268774	0.9693015245623942	0.9588513756281405
216816.1981	0.959073066585217	0.9587034629861982	0.9583814134495642	0.9577198379052367	0.9596572850958566	0.9583423485784921	0.9597891099809281	0.9599914320835895	0.9612703885853067	0.9570371780303032	0.9610440229153406	0.9611575776397515	0.9616004359673026	0.9623169917144678	0.9584305497861944	0.9601996024844721	0.9498302408026755	0.9486797718120805	0.9525497665110075	0.9694594701170672	0.9672122261693308	0.9917635065543071	1.0	0.9933211137667304	0.969285014645577	0.9587686325301205
216816.262	0.9593393784615385	0.9603055937500001	0.960887708845209	0.959524209215442	0.960778451137062	0.9595526030769231	0.9595294136191678	0.9601472073170731	0.9607916329036219	0.9571238669177652	0.9597119550281075	0.9611917683302527	0.9602250825082507	0.9616756981132075	0.9616022504537206	0.9600873188854491	0.9505085136031853	0.9497172530446552	0.9528879197324415	0.9696109732360096	0.9681740673886883	0.9916750262780698	0.993657474560592	1.0	0.9693481391200951	0.9592744043982896
1679.217	0.96363212340189	0.9625594024122808	0.9632635959482273	0.9616903850574712	0.9654634150417829	0.962623164277839	0.9640271910112361	0.9645042261564821	0.9645759473966722	0.9640383891454967	0.964556009122007	0.9651280342857141	0.9656024908200733	0.9662113352272728	0.9619154795288839	0.9642080325112108	0.9483503231939163	0.9479996052631581	0.9546794503435352	0.9856859021406729	0.9844909868421052	0.9678445938375351	0.9687533913043478	0.968338284166165	1.0	0.9619822621184919
1695.38	0.9783916629213484	0.9841887916666668	0.9845448339294839	0.9864130687563196	0.9795845770877943	0.985130842639594	0.9801718616422948	0.9801037375415282	0.9799196248600225	0.9786616211604096	0.9801001173840136	0.9816227507002802	0.9800661167971102	0.9821014424728104	0.9834445659163987	0.9797054364640885	0.9612890545863816	0.9614138534147696	0.9613674501108648	0.9618053717472118	0.9620743780487804	0.9594078279974889	0.9589182026537997	0.9590155331230283	0.9632456219806763	1.0
