	Bg40721_2D9	1897B	UCD398	Bg155.S08_5B11	UCD399	JCM1217	2074B	JDM301	ATCC15697	APC1478	239-2	2005B	JCM19995	NCC5000	Bg41121_2E1	AGR2137	Bg131.S11_17.F6	APC1461	UMA026	BgEED06	BSM11-5	LFYP82	UCD391	BT1	M257B_A6	DSM20211	NCC2705	209B
239-2	0.9497172530446552	0.9916750262780698	0.9616756981132075	0.9603055937500001	0.9616022504537206	0.9696109732360096	0.9601472073170731	0.960778451137062	0.9505085136031853	0.9682628012048192	1.0	0.9595294136191678	0.9611917683302527	0.9601920448877806	0.960887708845209	0.9571238669177652	0.9592744043982896	0.9593393784615385	0.9600873188854491	0.959524209215442	0.9595526030769231	0.993657474560592	0.9602250825082507	0.9528879197324415	0.9603505327617883	0.9597119550281075	0.9681740673886883	0.9607916329036219
2005B	0.9564390467404674	0.9585838044831881	0.985106119153675	0.9805777976817701	0.9810113008130081	0.9623737050147493	0.9818491930207198	0.977696869234943	0.9536314598540147	0.9628224956165984	0.9576732902391726	1.0	0.9826501022604951	0.9816154299363057	0.9799645367412143	0.9883947234678625	0.9783571973094171	0.9894473484848486	0.9885428636826044	0.9811393257820926	0.979996747624076	0.9586440262993112	0.9815248633575014	0.9581839296362551	0.9813205159574467	0.9814462298491939	0.9641261392405065	0.988318635210553
JCM19995	0.9581608623853209	0.9601508760024676	0.9912389835892007	0.9825819072988812	0.9822573977695167	0.9637635889929742	0.9919921199796643	0.9796683517089305	0.9597819133574008	0.9654119384793965	0.959834842964824	0.9851616972972974	1.0	0.9837386673773988	0.9827473778501628	0.9859639717083788	0.9804316862088218	0.9859901037117905	0.9861188345864663	0.9832109813596492	0.9831864437194129	0.9601488806888068	0.9884604817275746	0.9598285160905841	0.9821350293960448	0.9884336222910216	0.9657912865497076	0.9859026759806557
NCC5000	0.9580302046617395	0.9597613105590063	0.9822361353467561	0.9976203353140918	0.9886350047709924	0.961833977204559	0.9810257990379477	0.9826633014594868	0.9592728472222223	0.9627454833040421	0.9585833652618133	0.9826680995717345	0.9833172019334049	1.0	0.9876972692853763	0.9813528167482328	0.9847438157209787	0.980419240710824	0.9800580643431636	0.9892307430194037	0.9875862757009345	0.9583758983890954	0.9823362607204117	0.9603839729119639	0.9886644098205857	0.9820751997868941	0.9621280662020907	0.9806184375
Bg41121_2E1	0.9574008767908311	0.9590281346510192	0.981301654349062	0.9871037436135625	0.9865988845780795	0.9616846511627907	0.979472088505127	0.9806844776119404	0.9588798940914159	0.9633350463499422	0.9582597292191437	0.9798301546666666	0.9813269030860856	0.9868569112149534	1.0	0.9797526978998384	0.983094052953157	0.9788651583467526	0.9790751949420444	0.9874261920222636	0.9873736443014707	0.9583516019716577	0.9800878673527731	0.9588052669632926	0.9859072091932458	0.9795502241195304	0.9630291508892714	0.9787461406333869
AGR2137	0.9566821931956256	0.9579315704531348	0.9853265770308123	0.9808888531618435	0.9810994124107635	0.9607131279620853	0.9845416139410188	0.9783650976138829	0.9562408974358974	0.9627909384164224	0.9568233717948718	0.9890615855494229	0.9854895596133192	0.9813423381487426	0.9799344959999999	1.0	0.9774653378378377	0.9896708220551379	0.988638424796748	0.9818544438444924	0.980311381302521	0.9577583074051027	0.9839684567901235	0.957603759666865	0.9814093753365642	0.983872625	0.9643573749999999	0.9874978887744594
Bg131.S11_17.F6	0.9614138534147696	0.9594078279974889	0.9821014424728104	0.9841887916666668	0.9834445659163987	0.9618053717472118	0.9801037375415282	0.9795845770877943	0.9612890545863816	0.9621638824249847	0.9590155331230283	0.9801718616422948	0.9816227507002802	0.985311239626556	0.9845448339294839	0.9786616211604096	1.0	0.9783916629213484	0.9797054364640885	0.9864130687563196	0.985130842639594	0.9589182026537997	0.9800661167971102	0.9613674501108648	0.9845217064315351	0.9801001173840136	0.9620743780487804	0.9799196248600225
APC1461	0.9556901256732496	0.9583394924471298	0.9844835426997246	0.979051902725815	0.9789656870229005	0.9622308087367176	0.981850192513369	0.9770099087003221	0.9560778173190986	0.962964463243874	0.957387144638404	0.9884330611222446	0.9844048916576382	0.9792725251989391	0.978465393258427	0.9888422439759036	0.9763223512906847	1.0	0.9889862198127156	0.9784724049276916	0.9782992255717257	0.9580362222222223	0.9836777990970655	0.9569659883040936	0.9807988360918313	0.9835076275644398	0.963982573932092	0.9887568086147822
UMA026	0.9574153502060037	0.9588814137086904	0.9853682245008096	0.9785166666666666	0.9787219706840391	0.9599498837209302	0.9824348326133908	0.9774612493326216	0.9577878309037903	0.9614909843937575	0.9579866857871254	0.9879672018348623	0.9836487072649572	0.9791103494623657	0.9787580570221753	0.9883436089841757	0.9770975707154742	0.9889332989690721	1.0	0.9798470186666667	0.9788339589905364	0.9593582193468884	0.9820800995316161	0.9599791581342436	0.9806218544102019	0.9817696051919957	0.9639814301994303	0.9879447293879616
BgEED06	0.9572185820468839	0.9604722588674548	0.982050947075209	0.9891573516848601	0.9876217789626758	0.9609694287469287	0.9800191735084839	0.9820333219178083	0.9594875550536419	0.9624889761904761	0.9578664230271672	0.9814201028695182	0.9818150274423709	0.9891197313854854	0.9878789799720541	0.9813014859002169	0.984726475949367	0.9790699946062568	0.9811513800539083	1.0	0.9877001024685608	0.957647294117647	0.9814802313475999	0.9591220856507231	0.9865665049928672	0.9812611900915453	0.9623608941176471	0.9798164975179261
