contrast	estimate	SE	df	z.ratio	p.value
Bifidobacterium animalis subsp. lactis - Bifidobacterium dentium	-0.7038251658544592	0.08496120056819025	Inf	-8.284077451207459	3.011411731141998e-14
Bifidobacterium animalis subsp. lactis - Bifidobacterium gallicum	0.27625337662811733	0.3127389368670646	Inf	0.8833354087455502	1
Bifidobacterium animalis subsp. lactis - Bifidobacterium longum subsp. infantis	-0.7391590139086457	0.08440183409041159	Inf	-8.757617910492982	5.045321560243887e-16
Bifidobacterium animalis subsp. lactis - Bifidobacterium longum subsp. longum	-0.6939395736283507	0.08326196805269719	Inf	-8.334412335643455	1.9704665773112654e-14
Bifidobacterium animalis subsp. lactis - Bifidobacterium longum subsp. suis	-0.6484864097324965	0.09643857048105847	Inf	-6.724346975465235	4.462456322718447e-9
Bifidobacterium animalis subsp. lactis - Bifidobacterium pseudocatenulatum	-0.5975976316251186	0.08363064123377516	Inf	-7.145677981287225	2.265685180961932e-10
Bifidobacterium animalis subsp. lactis - Bifidobacterium pseudolongum subsp. globosum	-0.4667656339719626	0.11091418810378685	Inf	-4.20834919275784	0.006508251028761596
Bifidobacterium animalis subsp. lactis - Bifidobacterium pullorum	-0.528597793511778	0.12258316772604498	Inf	-4.312156418515101	0.004090250777574863
Bifidobacterium animalis subsp. lactis - Bifidobacterium ruminantium	-0.2962658161431748	0.18038175452199962	Inf	-1.6424378226515244	1
Bifidobacterium animalis subsp. lactis - Bifidobacterium scardovii	-0.7045758763835679	0.1121533321193271	Inf	-6.282255400436294	8.442509874212654e-8
Bifidobacterium animalis subsp. lactis - Bifidobacterium sp002742445	-0.424441009567175	0.09696812562781378	Inf	-4.377118840022528	0.0030425378224237126
Bifidobacterium animalis subsp. lactis - Bifidobacterium thermophilum	0.189241999638528	0.30038289741090635	Inf	0.6300025776089907	1
Bifidobacterium animalis subsp. lactis - Bifidobacterium tsurumiense	-0.852211875189635	0.1469776652304385	Inf	-5.798240663664762	1.6954601494865966e-6
Bifidobacterium bifidum - Bifidobacterium breve	-0.47434170916614116	0.01650106865557	Inf	-28.746120573592385	2.5622772856874977e-179
Bifidobacterium bifidum - Bifidobacterium catenulatum subsp. catenulatum	-0.09554801132821439	0.03450502065535374	Inf	-2.769104597344715	1
Bifidobacterium bifidum - Bifidobacterium catenulatum subsp. kashiwanohense	-0.4434742604710518	0.043091763863497175	Inf	-10.291392616831745	1.9494605736735593e-22
Bifidobacterium bifidum - Bifidobacterium catenulatum subsp. kashiwanohense_A	-0.4032941831655411	0.09974213209358854	Inf	-4.043368381048123	0.013330250988620847
Bifidobacterium bifidum - Bifidobacterium dentium	-0.5425895462821311	0.0215968799667448	Inf	-25.1235153928539	6.964742758749174e-137
Bifidobacterium bifidum - Bifidobacterium gallicum	0.43748899620044535	0.30175099379298087	Inf	1.4498344833972239	1
Bifidobacterium bifidum - Bifidobacterium longum subsp. infantis	-0.5779233943363178	0.01927924324591332	Inf	-29.9764563870432	5.033927242744288e-195
Bifidobacterium bifidum - Bifidobacterium longum subsp. longum	-0.5327039540560227	0.013437817766218487	Inf	-39.64214750665799	0
Bifidobacterium bifidum - Bifidobacterium longum subsp. suis	-0.48725079016016853	0.05048185316269415	Inf	-9.651998879475459	1.219631125074004e-19
Bifidobacterium bifidum - Bifidobacterium pseudocatenulatum	-0.4363620120527906	0.015559684298922743	Inf	-28.044400109261964	1.1827222468664207e-170
Bifidobacterium bifidum - Bifidobacterium pseudolongum subsp. globosum	-0.30553001439963456	0.07449816605146695	Inf	-4.101174976422367	0.010399756680018284
Bifidobacterium bifidum - Bifidobacterium pullorum	-0.36736217393945003	0.09096511766639674	Inf	-4.038495011755002	0.013610195004895416
Bifidobacterium bifidum - Bifidobacterium ruminantium	-0.1350301965708468	0.16057894316112767	Inf	-0.8408960347643787	1
Bifidobacterium bifidum - Bifidobacterium scardovii	-0.5433402568112398	0.07633079016869862	Inf	-7.118231785763044	2.7658066294849195e-10
