contrast	estimate	SE	df	z.ratio	p.value
Bifidobacterium gallicum - Bifidobacterium thermophilum	-0.08701137698958933	0.4174235549683486	Inf	-0.20844865114568586	1
Bifidobacterium gallicum - Bifidobacterium tsurumiense	-1.1284652518177523	0.3249845738831825	Inf	-3.472365590569186	0.1305209974095344
Bifidobacterium longum subsp. infantis - Bifidobacterium longum subsp. longum	0.045219440280295065	0.01622101952821643	Inf	2.7877064201566335	1
Bifidobacterium longum subsp. infantis - Bifidobacterium longum subsp. suis	0.0906726041761492	0.051292923751298236	Inf	1.7677409970971727	1
Bifidobacterium longum subsp. infantis - Bifidobacterium pseudocatenulatum	0.1415613822835271	0.018018054936613563	Inf	7.856640618620132	9.98269315133687e-13
Bifidobacterium longum subsp. infantis - Bifidobacterium pseudolongum subsp. globosum	0.27239337993668317	0.0750501383959325	Inf	3.6294853781568257	0.07184866443806018
Bifidobacterium longum subsp. infantis - Bifidobacterium pullorum	0.2105612203968677	0.091417717977852	Inf	2.303286770381655	1
Bifidobacterium longum subsp. infantis - Bifidobacterium ruminantium	0.4428931977654709	0.16083576565851684	Inf	2.7536984448211137	1
Bifidobacterium longum subsp. infantis - Bifidobacterium scardovii	0.03458313752507791	0.07686960423987162	Inf	0.4498935290100001	1
Bifidobacterium longum subsp. infantis - Bifidobacterium sp002742445	0.3147180043414708	0.05228177061173316	Inf	6.019650839270567	4.4222807218205565e-7
Bifidobacterium longum subsp. infantis - Bifidobacterium thermophilum	0.9284010135471737	0.2890682466261168	Inf	3.2117018191485247	0.3338366694652496
Bifidobacterium longum subsp. infantis - Bifidobacterium tsurumiense	-0.11305286128098929	0.1222006555920109	Inf	-0.925141201029533	1
Bifidobacterium longum subsp. longum - Bifidobacterium longum subsp. suis	0.04545316389585413	0.04939483528810978	Inf	0.9202007382094768	1
Bifidobacterium longum subsp. longum - Bifidobacterium pseudocatenulatum	0.09634194200323204	0.011555779068579738	Inf	8.337122182024629	1.9258460305402177e-14
Bifidobacterium longum subsp. longum - Bifidobacterium pseudolongum subsp. globosum	0.2271739396563881	0.07376590675530008	Inf	3.079660369525189	0.5243090202460944
Bifidobacterium longum subsp. longum - Bifidobacterium pullorum	0.16534178011657263	0.09036639246125235	Inf	1.8296822038953091	1
Bifidobacterium longum subsp. longum - Bifidobacterium ruminantium	0.39767375748517586	0.16024053557431825	Inf	2.4817300819662953	1
Bifidobacterium longum subsp. longum - Bifidobacterium scardovii	-0.010636302755217153	0.07561627987528541	Inf	-0.14066154501067363	1
Bifidobacterium longum subsp. longum - Bifidobacterium sp002742445	0.26949856406117567	0.050420920900761924	Inf	5.344975046996875	2.2878666137157384e-5
Bifidobacterium longum subsp. longum - Bifidobacterium thermophilum	0.8831815732668786	0.28873748792576365	Inf	3.058770025366261	0.5622866509770097
Bifidobacterium longum subsp. longum - Bifidobacterium tsurumiense	-0.15827230156128436	0.12141616841796757	Inf	-1.3035521020268228	1
Bifidobacterium longum subsp. suis - Bifidobacterium pseudocatenulatum	0.05088877810737791	0.0500137839230702	Inf	1.017495060674745	1
Bifidobacterium longum subsp. suis - Bifidobacterium pseudolongum subsp. globosum	0.18172077576053397	0.08836996974002734	Inf	2.056363448976301	1
Bifidobacterium longum subsp. suis - Bifidobacterium pullorum	0.1198886162207185	0.10263492309580986	Inf	1.1681074297566558	1
Bifidobacterium longum subsp. suis - Bifidobacterium ruminantium	0.35222059358932173	0.16746603176037242	Inf	2.1032360406874337	1
Bifidobacterium longum subsp. suis - Bifidobacterium scardovii	-0.056089466651071285	0.08992032214465871	Inf	-0.6237685243257662	1
Bifidobacterium longum subsp. suis - Bifidobacterium sp002742445	0.22404540016532157	0.07007219003929165	Inf	3.1973511893904325	0.35090076258729985
Bifidobacterium longum subsp. suis - Bifidobacterium thermophilum	0.8377284093710246	0.29280911783293595	Inf	2.861005202197958	1
Bifidobacterium longum subsp. suis - Bifidobacterium tsurumiense	-0.2037254654571385	0.13080416088841357	Inf	-1.557484594323667	1
Bifidobacterium pseudocatenulatum - Bifidobacterium pseudolongum subsp. globosum	0.13083199765315606	0.07418178906305556	Inf	1.7636673273267518	1
Bifidobacterium pseudocatenulatum - Bifidobacterium pullorum	0.0689998381133406	0.09070619447218109	Inf	0.7606959868049842	1
Bifidobacterium pseudocatenulatum - Bifidobacterium ruminantium	0.3013318154819438	0.1604324096630989	Inf	1.8782477687315646	1
Bifidobacterium pseudocatenulatum - Bifidobacterium scardovii	-0.10697824475844919	0.0760220402997811	Inf	-1.4072003900000198	1
Bifidobacterium pseudocatenulatum - Bifidobacterium sp002742445	0.17315662205794366	0.05102742491685167	Inf	3.393403103137175	0.17464583746180798
Bifidobacterium pseudocatenulatum - Bifidobacterium thermophilum	0.7868396312636466	0.28884401631822737	Inf	2.7240987758484976	1
Bifidobacterium pseudocatenulatum - Bifidobacterium tsurumiense	-0.2546142435645164	0.12166928446598307	Inf	-2.0926747837964212	1
Bifidobacterium pseudolongum subsp. globosum - Bifidobacterium pullorum	-0.06183215953981547	0.11634211054117483	Inf	-0.5314684360821558	1
Bifidobacterium pseudolongum subsp. globosum - Bifidobacterium ruminantium	0.17049981782878776	0.17619997457394307	Inf	0.9676495030209938	1
Bifidobacterium pseudolongum subsp. globosum - Bifidobacterium scardovii	-0.23781024241160525	0.1052958858687811	Inf	-2.2584951012042627	1
Bifidobacterium pseudolongum subsp. globosum - Bifidobacterium sp002742445	0.0423246244047876	0.08894757480220994	Inf	0.475837868529902	1
Bifidobacterium pseudolongum subsp. globosum - Bifidobacterium thermophilum	0.6560076336104905	0.29789048110403826	Inf	2.20217722694328	1
Bifidobacterium pseudolongum subsp. globosum - Bifidobacterium tsurumiense	-0.38544624121767246	0.1418142720321695	Inf	-2.7179650940226727	1
Bifidobacterium pullorum - Bifidobacterium ruminantium	0.23233197736860323	0.18376916750882805	Inf	1.2642598348683398	1
Bifidobacterium pullorum - Bifidobacterium scardovii	-0.1759780828717898	0.11752403783022776	Inf	-1.497379481855476	1
Bifidobacterium pullorum - Bifidobacterium sp002742445	0.10415678394460307	0.1031326667464009	Inf	1.0099300951920542	1
Bifidobacterium pullorum - Bifidobacterium thermophilum	0.717839793150306	0.3024291894302277	Inf	2.37357972787847	1
Bifidobacterium pullorum - Bifidobacterium tsurumiense	-0.323614081677857	0.15111572929064518	Inf	-2.1414983284462785	1
Bifidobacterium ruminantium - Bifidobacterium scardovii	-0.408310060240393	0.17698260881398484	Inf	-2.307063179690959	1
Bifidobacterium ruminantium - Bifidobacterium sp002742445	-0.12817519342400016	0.1677715449797952	Inf	-0.7639864879317666	1
Bifidobacterium ruminantium - Bifidobacterium thermophilum	0.4855078157817028	0.3301126458863821	Inf	1.470733768705136	1
Bifidobacterium ruminantium - Bifidobacterium tsurumiense	-0.5559460590464602	0.20086539770136344	Inf	-2.767754254383888	1
Bifidobacterium scardovii - Bifidobacterium sp002742445	0.2801348668163929	0.09048803150660643	Inf	3.0958223109974554	0.4965578805268438
Bifidobacterium scardovii - Bifidobacterium thermophilum	0.8938178760220958	0.2983540707199098	Inf	2.995829330785965	0.6924599220260945
Bifidobacterium scardovii - Bifidobacterium tsurumiense	-0.1476359988060672	0.142785505338462	Inf	-1.0339704892041213	1
Bifidobacterium sp002742445 - Bifidobacterium thermophilum	0.613683009205703	0.2929839568943054	Inf	2.094595948907504	1
Bifidobacterium sp002742445 - Bifidobacterium tsurumiense	-0.42777086562246003	0.13119507619214743	Inf	-3.2605710369492042	0.2813059224440387
Bifidobacterium thermophilum - Bifidobacterium tsurumiense	-1.041453874828163	0.3131121455425577	Inf	-3.326136943757138	0.22278839274102336
