locus_tag	seed_id
BcK1E1_02085	fig|630129.38.peg.2133
BcK1E1_00750	fig|630129.38.peg.758
BcK1E1_01511	fig|630129.38.peg.1536
BcK1E1_02088	fig|630129.38.peg.2137
BcK1E1_00987	fig|630129.38.peg.1004
BcK1E1_00578	fig|630129.38.peg.590
BcK1E1_00543	fig|630129.38.peg.553
BcK1E1_00603	fig|630129.38.peg.612
BcK1E1_01361	fig|630129.38.peg.1380
BcK1E1_01601	fig|630129.38.peg.1629
BcK1E1_00363	fig|630129.38.peg.372
BcK1E1_01523	fig|630129.38.peg.1548
BcK1E1_00081	fig|630129.38.peg.81
BcK1E1_01693	fig|630129.38.peg.1723
BcK1E1_00691	fig|630129.38.peg.700
BcK1E1_00521	fig|630129.38.peg.531
BcK1E1_01083	fig|630129.38.peg.1099
BcK1E1_00733	fig|630129.38.peg.743
BcK1E1_01731	fig|630129.38.peg.1762
BcK1E1_00188	fig|630129.38.peg.198
BcK1E1_00793	fig|630129.38.peg.806
BcK1E1_01791	fig|630129.38.peg.1824
BcK1E1_00185	fig|630129.38.peg.195
BcK1E1_01633	fig|630129.38.peg.1663
BcK1E1_00631	fig|630129.38.peg.640
BcK1E1_00321	fig|630129.38.peg.330
BcK1E1_01323	fig|630129.38.peg.1339
BcK1E1_00677	fig|630129.38.peg.686
BcK1E1_00221	fig|630129.38.peg.232
BcK1E1_01777	fig|630129.38.peg.1809
BcK1E1_01223	fig|630129.38.peg.1235
BcK1E1_00225	fig|630129.38.peg.236
BcK1E1_00747	fig|630129.38.peg.755
BcK1E1_00887	fig|630129.38.peg.902
BcK1E1_00717	fig|630129.38.peg.726
BcK1E1_00228	fig|630129.38.peg.239
BcK1E1_01647	fig|630129.38.peg.1676
BcK1E1_01617	fig|630129.38.peg.1646
BcK1E1_00325	fig|630129.38.peg.334
BcK1E1_00328	fig|630129.38.peg.337
BcK1E1_01207	fig|630129.38.peg.1221
BcK1E1_00638	fig|630129.38.peg.647
BcK1E1_00659	fig|630129.38.peg.669
BcK1E1_00635	fig|630129.38.peg.644
BcK1E1_01183	fig|630129.38.peg.1200
BcK1E1_02056	fig|630129.38.peg.2106
BcK1E1_01798	fig|630129.38.peg.1832
BcK1E1_01795	fig|630129.38.peg.1828
BcK1E1_00181	fig|630129.38.peg.190
BcK1E1_00767	fig|630129.38.peg.775
BcK1E1_01759	fig|630129.38.peg.1791
BcK1E1_01738	fig|630129.38.peg.1771
BcK1E1_01735	fig|630129.38.peg.1766
BcK1E1_00085	fig|630129.38.peg.87
BcK1E1_00528	fig|630129.38.peg.538
BcK1E1_00698	fig|630129.38.peg.707
BcK1E1_01307	fig|630129.38.peg.1322
BcK1E1_01667	fig|630129.38.peg.1696
BcK1E1_00695	fig|630129.38.peg.704
BcK1E1_00088	fig|630129.38.peg.92
BcK1E1_00525	fig|630129.38.peg.535
BcK1E1_00189	fig|630129.38.peg.199
BcK1E1_01700	fig|630129.38.peg.1731
BcK1E1_01466	fig|630129.38.peg.1490
BcK1E1_00260	fig|630129.38.peg.271
BcK1E1_00651	fig|630129.38.peg.661
BcK1E1_01653	fig|630129.38.peg.1682
BcK1E1_02082	fig|630129.38.peg.2130
BcK1E1_00572	fig|630129.38.peg.584
BcK1E1_00360	fig|630129.38.peg.369
BcK1E1_01006	fig|630129.38.peg.1023
BcK1E1_01751	fig|630129.38.peg.1783
BcK1E1_00540	fig|630129.38.peg.550
BcK1E1_00510	fig|630129.38.peg.518
BcK1E1_00753	fig|630129.38.peg.761
BcK1E1_00210	fig|630129.38.peg.220
BcK1E1_01674	fig|630129.38.peg.1704
BcK1E1_00240	fig|630129.38.peg.252
BcK1E1_00372	fig|630129.38.peg.380
BcK1E1_01446	fig|630129.38.peg.1469
BcK1E1_01416	fig|630129.38.peg.1437
BcK1E1_00272	fig|630129.38.peg.283
BcK1E1_00774	fig|630129.38.peg.782
BcK1E1_00560	fig|630129.38.peg.571
BcK1E1_00976	fig|630129.38.peg.992
BcK1E1_00310	fig|630129.38.peg.320
BcK1E1_00340	fig|630129.38.peg.351
BcK1E1_01370	fig|630129.38.peg.1389
BcK1E1_01242	fig|630129.38.peg.1254
BcK1E1_01744	fig|630129.38.peg.1777
BcK1E1_01884	fig|630129.38.peg.1927
BcK1E1_00329	fig|630129.38.peg.338
BcK1E1_01916	fig|630129.38.peg.1960
BcK1E1_01714	fig|630129.38.peg.1745
BcK1E1_01946	fig|630129.38.peg.1995
BcK1E1_00229	fig|630129.38.peg.241
BcK1E1_00476	fig|630129.38.peg.486
BcK1E1_01342	fig|630129.38.peg.1357
BcK1E1_00504	fig|630129.38.peg.512
BcK1E1_01312	fig|630129.38.peg.1328
